hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,adr,stays_in_week_nights,stays_in_weekend_nights,country,revenue
City Hotel,0,30,2016,October,144.8,4,0,BRA,579.2
City Hotel,0,142,2016,May,113.05,3,1,AUT,452.2
City Hotel,0,177,2016,July,96.0,1,1,ITA,192.0
City Hotel,0,224,2016,September,114.9,4,2,GBR,689.4000000000001
City Hotel,0,23,2015,October,75.0,3,0,FRA,225.0
City Hotel,0,272,2016,July,90.1,3,2,DEU,450.5
City Hotel,0,96,2016,July,188.16,3,2,BRA,940.8
City Hotel,0,85,2016,August,116.1,3,1,BEL,464.4
City Hotel,0,0,2015,September,190.0,1,0,PRT,190.0
City Hotel,0,42,2016,March,114.3,1,1,NLD,228.6
City Hotel,0,1,2017,June,100.0,3,1,VEN,400.0
City Hotel,0,214,2017,August,80.1,3,0,CYP,240.3
City Hotel,0,0,2017,April,212.0,1,1,PRT,424.0
City Hotel,0,10,2015,December,58.0,3,2,FRA,290.0
City Hotel,0,0,2016,August,139.0,1,0,POL,139.0
City Hotel,0,4,2016,February,95.0,1,0,PRT,95.0
City Hotel,0,29,2017,April,123.5,2,2,CHE,494.0
City Hotel,0,6,2017,July,100.0,1,0,DEU,100.0
City Hotel,0,112,2017,August,116.1,3,1,PRT,464.4
City Hotel,0,23,2015,October,142.0,2,1,PRT,426.0
City Hotel,0,40,2017,January,130.9,0,1,NLD,130.9
City Hotel,0,51,2016,July,135.9,3,0,RUS,407.7000000000001
City Hotel,0,161,2016,July,89.25,2,2,ROU,357.0
City Hotel,0,18,2016,September,119.58,1,2,GBR,358.74
City Hotel,0,96,2016,August,178.65,2,1,ESP,535.95
City Hotel,0,37,2016,September,113.65,1,0,PRT,113.65
City Hotel,0,5,2016,June,109.0,0,1,ESP,109.0
City Hotel,0,125,2016,November,79.2,2,0,FRA,158.4
City Hotel,0,256,2016,August,57.3,5,3,PRT,458.4
City Hotel,0,11,2015,September,120.0,3,0,PRT,360.0
City Hotel,0,40,2015,October,70.0,1,1,ITA,140.0
City Hotel,0,107,2017,June,95.76,3,0,POL,287.28000000000003
City Hotel,0,61,2016,April,126.23,2,2,NLD,504.92
City Hotel,0,7,2016,May,97.0,0,1,GBR,97.0
City Hotel,0,43,2016,March,121.0,3,1,ESP,484.0
City Hotel,0,40,2016,August,228.6,2,0,ESP,457.2
City Hotel,0,84,2017,June,89.1,3,1,CHE,356.4
City Hotel,0,56,2016,November,74.8,3,2,FRA,374.0
City Hotel,0,183,2017,August,117.0,2,1,ITA,351.0
City Hotel,0,71,2016,November,68.07,3,1,BRA,272.28
City Hotel,0,1,2016,February,109.0,3,0,FRA,327.0
City Hotel,0,60,2017,March,72.0,1,2,FRA,216.0
City Hotel,0,1,2015,October,12.0,1,1,ESP,24.0
City Hotel,0,191,2016,June,132.0,2,1,FRA,396.0
City Hotel,0,163,2016,December,122.4,2,1,USA,367.2000000000001
City Hotel,0,2,2016,October,94.0,1,2,DZA,282.0
City Hotel,0,59,2016,July,85.0,2,1,PRT,255.0
City Hotel,0,4,2016,December,97.75,5,2,FRA,684.25
City Hotel,0,137,2016,December,117.3,3,2,PRT,586.5
City Hotel,0,5,2016,March,103.0,2,0,FRA,206.0
City Hotel,0,8,2016,November,160.0,1,0,CHN,160.0
City Hotel,0,5,2017,January,75.0,2,2,FRA,300.0
City Hotel,0,61,2015,September,60.0,2,2,ESP,240.0
City Hotel,0,11,2015,December,0.0,2,0,PRT,0.0
City Hotel,0,94,2017,August,125.0,2,1,IRL,375.0
City Hotel,0,45,2016,February,65.75,4,2,FRA,394.5
City Hotel,0,75,2017,January,82.8,3,0,DEU,248.4
City Hotel,0,2,2016,July,85.0,1,1,PRT,170.0
City Hotel,0,100,2017,May,135.89,6,2,GBR,1087.12
City Hotel,0,225,2017,May,82.47,3,1,DEU,329.88
City Hotel,0,50,2016,March,65.0,3,0,ISR,195.0
City Hotel,0,9,2016,December,98.0,1,0,PRT,98.0
City Hotel,0,108,2016,October,69.99,1,0,NOR,69.99
City Hotel,0,90,2016,November,171.9,1,1,PRT,343.8
City Hotel,0,43,2016,April,125.53,1,1,ESP,251.06
City Hotel,0,6,2016,April,122.16,3,0,NLD,366.48
City Hotel,0,63,2016,April,117.0,0,2,BGR,234.0
City Hotel,0,124,2017,August,172.5,4,2,ITA,1035.0
City Hotel,0,1,2015,September,105.0,1,0,ITA,105.0
City Hotel,0,8,2017,May,204.0,2,2,ITA,816.0
City Hotel,0,51,2017,March,54.71,3,1,NLD,218.84
City Hotel,0,29,2015,October,76.81,0,2,DEU,153.62
City Hotel,0,1,2016,January,99.0,3,1,ITA,396.0
City Hotel,0,47,2016,February,71.52,1,0,GBR,71.52
City Hotel,0,1,2016,February,91.0,1,0,PRT,91.0
City Hotel,0,17,2017,February,177.31,3,2,ITA,886.55
City Hotel,0,39,2017,March,158.0,1,1,BRA,316.0
City Hotel,0,52,2017,May,189.0,1,2,GBR,567.0
City Hotel,0,0,2016,April,89.0,1,0,PRT,89.0
City Hotel,0,290,2017,August,99.0,5,2,FRA,693.0
City Hotel,0,16,2015,October,111.75,3,1,AUT,447.0
City Hotel,0,22,2017,February,74.8,4,0,ITA,299.2
City Hotel,0,35,2016,March,107.1,0,2,ITA,214.2
City Hotel,0,98,2017,July,108.0,0,2,CHE,216.0
City Hotel,0,0,2016,November,79.0,1,0,ESP,79.0
City Hotel,0,69,2017,May,121.1,2,1,FRA,363.3
City Hotel,0,32,2016,July,65.0,1,1,PRT,130.0
City Hotel,0,7,2016,April,119.0,2,0,ESP,238.0
City Hotel,0,42,2016,March,180.16,2,2,ESP,720.64
City Hotel,0,31,2017,April,120.0,2,0,GBR,240.0
City Hotel,0,81,2016,March,65.0,2,1,PRT,195.0
City Hotel,0,16,2017,January,42.5,2,2,PRT,170.0
City Hotel,0,14,2015,September,95.0,1,0,PRT,95.0
City Hotel,0,26,2017,March,0.0,2,0,PRT,0.0
City Hotel,0,43,2017,June,146.67,4,2,SWE,880.02
City Hotel,0,4,2016,June,109.0,0,1,PRT,109.0
City Hotel,0,140,2017,August,112.1,3,0,ITA,336.29999999999995
City Hotel,0,47,2016,October,85.5,3,0,NLD,256.5
City Hotel,0,18,2017,February,74.8,5,0,GRC,374.0
City Hotel,0,13,2016,June,91.0,1,0,PRT,91.0
City Hotel,0,16,2016,November,120.0,1,0,PRT,120.0
City Hotel,0,1,2016,June,70.0,2,1,QAT,210.0
City Hotel,0,48,2016,June,89.1,1,0,USA,89.1
City Hotel,0,8,2016,November,103.0,0,1,ITA,103.0
City Hotel,0,39,2015,August,109.0,2,0,PRT,218.0
City Hotel,0,118,2016,June,110.0,2,1,PRT,330.0
City Hotel,0,13,2016,September,95.38,0,2,PRT,190.76
City Hotel,0,54,2016,September,201.0,1,1,ESP,402.0
City Hotel,0,0,2015,August,98.0,0,2,ESP,196.0
City Hotel,0,124,2016,July,90.9,0,2,UKR,181.8
City Hotel,0,2,2016,October,175.0,3,1,CHE,700.0
City Hotel,0,13,2015,September,111.6,3,2,PRT,558.0
City Hotel,0,25,2016,February,64.64,2,2,FRA,258.56
City Hotel,0,62,2016,April,76.91,3,1,CHE,307.64
City Hotel,0,17,2015,November,0.0,0,0,PRT,0.0
City Hotel,0,116,2017,May,120.0,3,0,GBR,360.0
City Hotel,0,14,2016,July,84.15,1,0,GBR,84.15
City Hotel,0,0,2017,March,118.0,1,0,PRT,118.0
City Hotel,0,126,2016,June,80.75,4,2,FRA,484.5
City Hotel,0,75,2015,December,60.0,2,1,FRA,180.0
City Hotel,0,22,2017,February,88.0,0,1,USA,88.0
City Hotel,0,4,2017,July,65.0,1,2,PRT,195.0
City Hotel,0,29,2017,August,111.2,1,0,BRA,111.2
City Hotel,0,11,2017,June,225.0,3,1,POL,900.0
City Hotel,0,1,2017,January,99.1,3,0,RUS,297.29999999999995
City Hotel,0,9,2016,May,130.0,2,0,FRA,260.0
City Hotel,0,60,2016,July,142.13,4,2,BEL,852.78
City Hotel,0,81,2016,March,85.68,3,0,IRL,257.04
City Hotel,0,28,2017,June,109.0,1,0,DEU,109.0
City Hotel,0,88,2017,May,147.0,3,0,DEU,441.0
City Hotel,0,88,2017,April,99.0,1,1,PRT,198.0
City Hotel,0,27,2017,June,110.2,1,0,NLD,110.2
City Hotel,0,54,2017,March,57.6,4,0,GBR,230.4
City Hotel,0,58,2016,November,75.0,3,0,FRA,225.0
City Hotel,0,73,2017,June,140.0,3,0,BEL,420.0
City Hotel,0,22,2016,October,67.0,1,0,PRT,67.0
City Hotel,0,9,2016,July,166.0,3,0,FRA,498.0
City Hotel,0,183,2017,August,99.0,2,1,ITA,297.0
City Hotel,0,6,2016,August,180.67,2,1,USA,542.01
City Hotel,0,13,2017,July,140.0,1,0,FRA,140.0
City Hotel,0,126,2015,July,85.5,2,1,PRT,256.5
City Hotel,0,0,2016,September,170.0,1,0,PRT,170.0
City Hotel,0,18,2015,October,77.0,1,1,ESP,154.0
City Hotel,0,15,2015,September,107.75,2,2,CZE,431.0
City Hotel,0,110,2015,July,36.25,1,2,ITA,108.75
City Hotel,0,145,2015,August,80.0,2,1,ISR,240.0
City Hotel,0,5,2017,August,67.0,2,0,PRT,134.0
City Hotel,0,26,2017,April,214.0,1,2,ITA,642.0
City Hotel,0,133,2016,July,121.5,3,0,PRT,364.5
City Hotel,0,0,2016,December,133.0,1,0,SWE,133.0
City Hotel,0,35,2015,October,65.83,2,0,PRT,131.66
City Hotel,0,76,2015,September,62.0,2,0,ESP,124.0
City Hotel,0,0,2016,October,0.0,0,0,PRT,0.0
City Hotel,0,0,2017,May,190.0,2,0,USA,380.0
City Hotel,0,109,2017,May,117.0,2,2,RUS,468.0
City Hotel,0,52,2016,October,108.0,1,1,DEU,216.0
City Hotel,0,14,2015,September,113.0,2,2,ESP,452.0
City Hotel,0,26,2016,August,65.0,0,1,PRT,65.0
City Hotel,0,3,2016,November,111.0,2,0,FRA,222.0
City Hotel,0,38,2016,December,0.0,2,0,PRT,0.0
City Hotel,0,43,2016,February,96.3,3,0,NLD,288.9
City Hotel,0,7,2016,March,99.2,3,0,BEL,297.6
City Hotel,0,7,2017,March,137.13,5,1,USA,822.78
City Hotel,0,147,2016,October,151.2,2,1,GBR,453.6
City Hotel,0,146,2016,July,72.25,4,1,GBR,361.25
City Hotel,0,163,2016,August,72.25,5,2,PRT,505.75
City Hotel,0,70,2016,March,75.95,3,2,PRT,379.75
City Hotel,0,221,2017,April,100.6,2,1,ESP,301.79999999999995
City Hotel,0,5,2016,March,51.0,3,0,PRT,153.0
City Hotel,0,11,2017,July,160.0,0,2,SVK,320.0
City Hotel,0,51,2015,November,69.0,4,0,FRA,276.0
City Hotel,0,9,2016,May,131.0,1,0,GBR,131.0
City Hotel,0,35,2017,January,129.7,4,1,ESP,648.5
City Hotel,0,181,2016,August,85.5,1,0,ITA,85.5
City Hotel,0,60,2016,January,60.0,0,2,FRA,120.0
City Hotel,0,111,2017,June,126.0,3,0,AUS,378.0
City Hotel,0,173,2017,July,107.1,1,2,AUS,321.29999999999995
