hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,adr,stays_in_week_nights,stays_in_weekend_nights,country,revenue
Resort Hotel,0,7,2015,July,75.0,1,0,GBR,75.0
Resort Hotel,0,13,2015,July,75.0,1,0,GBR,75.0
Resort Hotel,0,14,2015,July,98.0,2,0,GBR,196.0
Resort Hotel,0,0,2015,July,107.0,2,0,PRT,214.0
Resort Hotel,0,9,2015,July,103.0,2,0,PRT,206.0
Resort Hotel,1,85,2015,July,82.0,3,0,PRT,246.0
Resort Hotel,1,75,2015,July,105.5,3,0,PRT,316.5
Resort Hotel,1,23,2015,July,123.0,4,0,PRT,492.0
Resort Hotel,0,35,2015,July,145.0,4,0,PRT,580.0
Resort Hotel,0,68,2015,July,97.0,4,0,USA,388.0
Resort Hotel,0,18,2015,July,154.77,4,0,ESP,619.08
Resort Hotel,0,37,2015,July,94.71,4,0,PRT,378.84
Resort Hotel,0,68,2015,July,97.0,4,0,IRL,388.0
Resort Hotel,0,37,2015,July,97.5,4,0,PRT,390.0
Resort Hotel,0,12,2015,July,88.2,1,0,IRL,88.2
Resort Hotel,0,0,2015,July,107.42,1,0,FRA,107.42
Resort Hotel,0,7,2015,July,153.0,4,0,GBR,612.0
Resort Hotel,0,37,2015,July,97.29,4,1,GBR,486.45000000000005
Resort Hotel,0,72,2015,July,84.67,4,2,PRT,508.02
Resort Hotel,0,72,2015,July,99.67,4,2,PRT,598.02
Resort Hotel,0,127,2015,July,94.95,5,2,GBR,664.65
Resort Hotel,0,78,2015,July,63.6,5,2,PRT,445.2
Resort Hotel,0,48,2015,July,79.5,5,2,IRL,556.5
Resort Hotel,1,60,2015,July,107.0,5,2,PRT,749.0
Resort Hotel,0,77,2015,July,94.0,5,2,PRT,658.0
Resort Hotel,0,99,2015,July,87.3,5,2,PRT,611.1
Resort Hotel,0,69,2015,July,65.5,4,2,IRL,393.0
Resort Hotel,1,45,2015,July,108.8,3,1,PRT,435.2
Resort Hotel,1,40,2015,July,108.8,3,1,PRT,435.2
Resort Hotel,0,15,2015,July,98.0,3,1,ESP,392.0
Resort Hotel,0,36,2015,July,108.8,3,1,PRT,435.2
Resort Hotel,1,43,2015,July,108.8,3,1,PRT,435.2
Resort Hotel,0,70,2015,July,137.0,3,2,ROU,685.0
Resort Hotel,1,45,2015,July,117.81,3,2,PRT,589.05
Resort Hotel,0,45,2015,July,79.5,3,2,IRL,397.5
Resort Hotel,0,16,2015,July,123.0,3,2,ESP,615.0
Resort Hotel,0,107,2015,July,110.7,5,2,PRT,774.9
Resort Hotel,1,47,2015,July,153.0,5,2,PRT,1071.0
